,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Pts Won,Pts Max,Share,WS,WS/48,W,L,W/L%,GB,PS/G,PA/G,SRS,PTS_Scaled,TRB_Scaled,AST_Scaled,STL_Scaled,BLK_Scaled,FG%_Scaled,eFG%_Scaled,WS_Scaled,WS/48_Scaled
3968,Domantas Sabonis,27.0,Sacramento Kings,C,82.0,82.0,35.7,7.7,13.0,0.594,0.4,1.1,0.379,7.3,12.0,0.613,0.609,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3.0,19.4,2024,3.0,990.0,0.003,12.6,0.206,46,36,.561,5.0,116.6,114.8,2.29,-0.6583986965278881,1.8857150124746005,1.0452930264768034,-0.96266902032875,-0.3870788744918774,2.326866687549266,2.0736836733538286,0.5141387414610238,0.1947326289293514
3980,Dominique Wilkins,31.0,Atlanta Hawks,SF,81.0,81.0,38.0,9.5,20.2,0.47,1.0,3.1,0.341,8.5,17.2,0.492,0.495,5.9,7.1,0.829,3.2,5.8,9.0,3.3,1.5,0.8,2.5,1.9,25.9,1991,29.0,960.0,0.03,11.4,0.177,43,39,.524,18.0,109.8,109.0,0.72,0.5914909829181947,0.45052920393606055,-0.7810292626590528,0.18221111432705,-0.15990570461570633,-0.41084708424170047,-0.627017939999954,0.15343471965729144,-0.40750866578397527
3982,Dominique Wilkins,33.0,Atlanta Hawks,SF,71.0,70.0,37.3,10.4,22.3,0.468,1.7,4.5,0.38,8.7,17.9,0.49,0.506,7.3,8.8,0.828,2.6,4.2,6.8,3.2,1.0,0.4,2.6,1.6,29.9,1993,54.0,980.0,0.055,10.5,0.191,43,39,.524,14.0,107.5,108.4,-0.67,1.3606538625773223,-0.2212598979330434,-0.8183011461108048,-0.7718556645527833,-0.6142520443680484,-0.45500375798026327,-0.36642392467634316,-0.11709329669550812,-0.11677148902581728
4041,Donovan Mitchell,26.0,Cleveland Cavaliers,SG,68.0,68.0,35.8,10.0,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,2023,30.0,1000.0,0.03,8.9,0.176,51,31,.622,7.0,112.3,106.9,5.23,1.0529887107136717,-0.9846566046024796,-0.37103854468977876,0.18221111432705,-0.6142520443680484,-0.10175036807175242,1.1971401672653192,-0.5980319924338181,-0.42827560698098655
4043,Donovan Mitchell,28.0,Cleveland Cavaliers,SG,71.0,71.0,31.4,8.2,18.6,0.443,3.3,8.9,0.368,5.0,9.7,0.512,0.531,4.2,5.1,0.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,2025,74.0,1000.0,0.074,7.6,0.163,64,18,.780,—,121.9,112.4,8.81,0.2261386150801092,-0.9235848680689247,-0.14740724397926583,-0.19941559722488325,-0.8414252142442193,-1.0069621797123134,0.22583520105913607,-0.9887946827211953,-0.6982458425421326
4154,Draymond Green,25.0,Golden State Warriors,PF,81.0,81.0,34.7,5.0,10.1,0.49,1.2,3.2,0.388,3.7,6.9,0.537,0.551,2.8,4.1,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0,2016,50.0,1310.0,0.038,11.1,0.19,73,9,.890,—,114.9,104.1,10.38,-1.6967685840677103,0.6032085452699478,0.7471179588627864,0.18221111432705,0.5216138050128065,0.030719653143939617,0.6996425016475194,0.06325871420635808,-0.13753843022282858
4251,Dwight Howard,22.0,Orlando Magic,C,82.0,82.0,37.7,7.1,11.9,0.599,0.0,0.0,0.0,7.1,11.8,0.601,0.599,6.5,10.9,0.59,3.4,10.8,14.2,1.3,0.9,2.1,3.2,3.3,20.7,2008,60.0,1260.0,0.048,12.9,0.2,52,30,.634,—,104.5,99.0,4.79,-0.4084207606386714,2.0383943538084877,-1.5264669316940962,-0.96266902032875,1.3167198995794052,2.4372583718956755,1.836780023059637,0.6043147469119572,0.07013098174728427
4252,Dwight Howard,23.0,Orlando Magic,C,79.0,79.0,35.7,7.1,12.4,0.572,0.0,0.0,0.0,7.1,12.4,0.573,0.572,6.4,10.7,0.594,4.3,9.6,13.8,1.4,1.0,2.9,3.0,3.4,20.6,2009,328.0,1210.0,0.271,13.8,0.234,59,23,.720,—,101.0,94.4,6.48,-0.42764983263014916,1.9162508807413785,-1.4891950482423442,-0.7718556645527833,2.225412579084089,1.8411432764250615,1.1971401672653192,0.8748427632647567,0.7762069824456673
4253,Dwight Howard,24.0,Orlando Magic,C,82.0,82.0,34.7,6.2,10.2,0.612,0.0,0.1,0.0,6.2,10.1,0.617,0.612,5.9,10.0,0.592,3.5,9.7,13.2,1.8,0.9,2.8,3.3,3.5,18.3,2010,478.0,1230.0,0.389,13.2,0.223,59,23,.720,—,102.8,95.3,7.12,-0.8699184884341478,1.7330356711407133,-1.3401075144353354,-0.96266902032875,2.1118259941460034,2.7242767511963417,2.1447547684420862,0.69449075236289,0.5477706292785433
4254,Dwight Howard,25.0,Orlando Magic,C,78.0,78.0,37.6,7.9,13.4,0.593,0.0,0.1,0.0,7.9,13.3,0.597,0.593,7.0,11.7,0.596,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3,22.9,2011,643.0,1210.0,0.531,14.4,0.235,52,30,.634,6.0,99.2,93.7,4.92,0.014618823173848786,2.0078584855417105,-1.4891950482423442,-0.008602241448916846,1.6574796543936614,2.3047883506799836,1.6946378328831218,1.055194774166623,0.796973923642678
4255,Dwight Howard,26.0,Orlando Magic,C,54.0,54.0,38.3,7.7,13.4,0.573,0.0,0.1,0.0,7.7,13.3,0.579,0.573,5.2,10.6,0.491,3.7,10.8,14.5,1.9,1.5,2.1,3.2,2.9,20.6,2012,13.0,1210.0,0.011,7.7,0.179,37,29,.561,9.0,94.2,93.4,0.46,-0.42764983263014916,2.1300019586088204,-1.3028356309835831,0.18221111432705,1.3167198995794052,1.8632216132943435,1.2208305322947386,-0.9587360142375508,-0.3659747833899527
4277,Dwyane Wade,23.0,Miami Heat,SG,77.0,77.0,38.6,8.2,17.1,0.478,0.2,0.6,0.289,8.0,16.5,0.485,0.483,7.5,9.9,0.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0,24.1,2005,43.0,1270.0,0.034,11.0,0.177,59,23,.720,—,101.5,95.0,5.77,0.24536768707158768,-0.7098337902014825,0.5234866581522732,0.3730244701030168,0.1808540501985502,-0.23422038928744443,-0.911302320352984,0.033200045722713796,-0.40750866578397527
4278,Dwyane Wade,24.0,Miami Heat,SG,75.0,75.0,38.6,9.3,18.8,0.495,0.2,1.0,0.171,9.1,17.8,0.513,0.499,8.4,10.7,0.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,2006,87.0,1250.0,0.07,14.4,0.239,52,30,.634,—,99.9,96.0,3.59,0.8414689188074114,-0.5571544488675952,0.48621477470052116,0.9454645374309165,-0.15990570461570633,0.14111133749034963,-0.5322564798822773,1.055194774166623,0.8800416884307232
4279,Dwyane Wade,25.0,Miami Heat,SG,51.0,50.0,37.9,9.3,18.9,0.491,0.4,1.5,0.266,8.8,17.3,0.511,0.502,8.5,10.5,0.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4,2007,3.0,1290.0,0.002,8.8,0.219,44,38,.537,—,94.6,95.5,-1.21,0.8799270627903676,-0.8625131315353698,0.7843898423145385,1.3270912489828501,0.29444063513663554,0.05279799001322162,-0.4611853847940198,-0.6280906609174625,0.4647028644904981
4281,Dwyane Wade,27.0,Miami Heat,SG,79.0,79.0,38.6,10.8,22.0,0.491,1.1,3.5,0.317,9.7,18.5,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,2009,680.0,1210.0,0.562,14.7,0.232,43,39,.524,16.0,98.3,98.0,0.49,1.4183410785517572,-0.7709055267350374,0.7843898423145385,1.517904604758817,0.40802722007472114,0.05279799001322162,-0.12952027438215144,1.1453707796175558,0.7346731000516448
4282,Dwyane Wade,28.0,Miami Heat,SG,77.0,77.0,36.3,9.3,19.6,0.476,0.9,3.2,0.3,8.4,16.5,0.509,0.5,6.9,9.1,0.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,2010,119.0,1230.0,0.097,13.0,0.224,47,35,.573,12.0,96.5,94.2,1.99,0.7260944868585426,-0.8319772632685924,0.41167100779701676,0.75465118165495,0.1808540501985502,-0.27837706302600845,-0.5085661148528582,0.6343734153956014,0.5685375704755545
4283,Dwyane Wade,29.0,Miami Heat,SG,76.0,76.0,37.1,9.1,18.2,0.5,0.8,2.7,0.306,8.3,15.5,0.534,0.523,6.5,8.6,0.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,2011,24.0,1210.0,0.02,12.8,0.218,58,24,.707,—,102.1,94.6,6.76,0.5145746949522821,-0.34340337100015306,-0.29649477778627464,0.18221111432705,0.1808540501985502,0.25150302183675965,0.036312280823782725,0.5742560784283129,0.4439359232934868
4284,Dwyane Wade,30.0,Miami Heat,SG,49.0,49.0,33.2,8.5,17.1,0.497,0.3,1.1,0.268,8.2,15.9,0.513,0.506,4.8,6.1,0.791,1.5,3.3,4.8,4.6,1.7,1.3,2.6,2.2,22.1,2012,6.0,1210.0,0.005,7.7,0.227,46,20,.697,—,98.5,92.5,5.72,-0.13921375275797623,-0.8319772632685924,-0.29649477778627464,0.5638378258789832,0.40802722007472114,0.18526801122891365,-0.36642392467634316,-0.9587360142375508,0.6308383940665884
4285,Dwyane Wade,31.0,Miami Heat,SG,69.0,69.0,34.7,8.2,15.8,0.521,0.2,1.0,0.258,8.0,14.9,0.537,0.528,4.5,6.2,0.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2,2013,5.0,1210.0,0.004,9.6,0.192,66,16,.805,—,102.9,95.0,7.03,-0.3122754006812804,-0.7709055267350374,-0.1101353605275138,0.9454645374309165,-0.15990570461570633,0.7151480960916817,0.15476410597087856,-0.38762131304830766,-0.096004547828806
4513,Elton Brand,26.0,Los Angeles Clippers,PF,79.0,79.0,39.2,9.6,18.2,0.527,0.0,0.0,0.333,9.6,18.1,0.527,0.527,5.6,7.2,0.775,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9,24.7,2006,50.0,1250.0,0.04,14.8,0.229,47,35,.573,7.0,97.2,95.6,1.75,0.36074211902045644,0.7558878866038351,-1.041932446821318,-0.7718556645527833,1.771066239331747,0.8476181173073738,0.1310737409414594,1.1754294481012006,0.6723722764606109
4751,Evan Mobley,23.0,Cleveland Cavaliers,PF,71.0,71.0,30.5,7.1,12.8,0.557,1.2,3.2,0.37,5.9,9.5,0.621,0.604,3.1,4.3,0.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,2025,1.0,1000.0,0.001,9.0,0.2,64,18,.780,—,121.9,112.4,8.81,-0.8314603444511915,0.5421368087363931,-0.8183011461108048,-0.96266902032875,0.7487869748889777,1.5099682233858338,1.9552318482067328,-0.5679733239501739,0.07013098174728427
4965,Gary Payton,25.0,Seattle SuperSonics,PG,82.0,82.0,35.1,7.1,14.1,0.504,0.2,0.7,0.278,6.9,13.5,0.515,0.51,2.0,3.4,0.595,1.3,2.0,3.3,6.0,2.3,0.2,2.1,2.8,16.5,1994,20.0,1010.0,0.02,9.3,0.155,63,19,.768,—,105.9,96.9,8.68,-1.2160417842807554,-1.2900152872702542,0.2253115905382559,1.708717960534783,-0.8414252142442193,0.3398163693138877,-0.27166246455866644,-0.4777973184992405,-0.864381372118223
4966,Gary Payton,26.0,Seattle SuperSonics,PG,82.0,82.0,36.8,8.4,16.4,0.509,0.9,2.8,0.302,7.5,13.6,0.553,0.535,3.0,4.2,0.716,1.3,2.1,3.4,7.1,2.5,0.2,2.5,2.5,20.6,1995,34.0,1050.0,0.032,11.7,0.187,57,25,.695,2.0,110.4,102.2,7.91,-0.42764983263014916,-1.2594794190034766,0.6353023085075297,2.0903446720867165,-0.8414252142442193,0.4502080536602977,0.32059666117681274,0.24361072510822426,-0.19983925381386242
4967,Gary Payton,27.0,Seattle SuperSonics,PG,81.0,81.0,39.0,7.6,15.8,0.484,1.2,3.7,0.328,6.4,12.1,0.532,0.523,2.8,3.8,0.748,1.3,2.9,4.2,7.5,2.9,0.2,3.2,2.7,19.3,1996,98.0,1130.0,0.087,11.5,0.174,64,18,.780,—,104.5,96.7,7.40,-0.6776277685193658,-1.015192472869257,0.7843898423145385,2.8535980951905833,-0.8414252142442193,-0.10175036807175242,0.036312280823782725,0.18349338814093571,-0.4698094893750091
4968,Gary Payton,28.0,Seattle SuperSonics,PG,82.0,82.0,39.2,8.6,18.1,0.476,1.5,4.6,0.313,7.2,13.4,0.533,0.517,3.1,4.3,0.715,1.3,3.3,4.6,7.1,2.4,0.2,2.6,2.5,21.8,1997,105.0,1150.0,0.091,12.9,0.193,57,25,.695,—,100.9,93.2,6.91,-0.19690096873241095,-0.8930489998021474,0.6353023085075297,1.89953131631075,-0.8414252142442193,-0.27837706302600845,-0.10582990935273229,0.6043147469119572,-0.07523760663179471
4969,Gary Payton,29.0,Seattle SuperSonics,PG,82.0,82.0,38.4,7.1,15.6,0.453,1.6,4.8,0.338,5.4,10.7,0.505,0.505,3.4,4.6,0.744,0.9,3.6,4.6,8.3,2.3,0.2,2.8,2.4,19.2,1998,431.0,1160.0,0.372,12.5,0.19,61,21,.744,—,100.6,93.4,6.33,-0.6968568405108443,-0.8930489998021474,1.0825649099285561,1.708717960534783,-0.8414252142442193,-0.7861788110194933,-0.3901142897057623,0.48408007297737954,-0.13753843022282858
4970,Gary Payton,30.0,Seattle SuperSonics,PG,50.0,50.0,40.2,8.0,18.5,0.434,1.7,5.6,0.295,6.4,12.8,0.495,0.479,4.0,5.5,0.721,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7,1999,35.0,1180.0,0.03,7.2,0.172,25,25,.500,10.0,94.9,95.9,-1.43,-0.21613004072388942,-0.8014413950018148,1.2316524437355643,1.517904604758817,-0.8414252142442193,-1.2056672115358513,-1.0060637804706607,-1.1090293566557727,-0.5113433717690317
4971,Gary Payton,31.0,Seattle SuperSonics,PG,82.0,82.0,41.8,9.1,20.3,0.448,2.2,6.3,0.34,7.0,14.0,0.497,0.502,3.8,5.2,0.735,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2,24.2,2000,180.0,1210.0,0.149,13.9,0.195,45,37,.549,22.0,99.1,98.1,1.17,0.26459675906306546,-0.3128675027333757,1.306196210639069,0.9454645374309165,-0.8414252142442193,-0.8965704953659034,-0.4611853847940198,0.904901431748401,-0.03370372423777215
4973,Gary Payton,33.0,Seattle SuperSonics,PG,82.0,82.0,40.3,9.0,19.2,0.467,0.9,2.9,0.314,8.1,16.4,0.494,0.49,3.3,4.1,0.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2,22.1,2002,54.0,1260.0,0.043,12.6,0.183,45,37,.549,16.0,97.7,94.7,3.24,-0.13921375275797623,-0.8319772632685924,1.343468094090821,0.3730244701030168,-0.7278386293061337,-0.4770820948495453,-0.7454697651470499,0.5141387414610238,-0.28290701860190753
5110,Giannis Antetokounmpo,22.0,Milwaukee Bucks,SF,80.0,80.0,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,2017,7.0,1010.0,0.007,12.4,0.21,42,40,.512,9.0,103.6,103.8,-0.45,0.014618823173848786,0.38945746740250586,0.0016802898277429876,0.3730244701030168,1.089546729703234,0.7151480960916817,0.46273885135332776,0.4540214044937353,0.2778003937173965
5111,Giannis Antetokounmpo,23.0,Milwaukee Bucks,PF,75.0,75.0,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,2018,75.0,1010.0,0.074,11.9,0.207,44,38,.537,6.0,106.5,106.8,-0.45,0.7837817028329765,0.7558878866038351,-0.22195101088277025,0.18221111432705,0.5216138050128065,0.8917747910459378,0.5575003114710044,0.30372806207551334,0.21549957012636267
5112,Giannis Antetokounmpo,24.0,Milwaukee Bucks,PF,72.0,72.0,32.8,10.0,17.3,0.578,0.7,2.8,0.256,9.3,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,2019,941.0,1010.0,0.932,14.4,0.292,60,22,.732,—,118.1,109.3,8.04,0.9376142787648023,1.5192845932732713,0.18803970708650386,-0.19941559722488325,0.6352003899508921,1.9736132976407537,1.836780023059637,1.055194774166623,1.98068957187232
5113,Giannis Antetokounmpo,25.0,Milwaukee Bucks,PF,63.0,63.0,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,2020,962.0,1010.0,0.952,11.1,0.279,56,17,.767,—,118.7,108.6,9.41,1.28373757461141,1.8551791442078231,0.07622405673124706,-0.7718556645527833,0.0672674652604646,1.421654875908706,1.5998763727654453,0.06325871420635808,1.7107193363111746
5114,Giannis Antetokounmpo,26.0,Milwaukee Bucks,PF,61.0,61.0,33.0,10.3,18.0,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1,2021,348.0,1010.0,0.345,10.2,0.244,46,26,.639,—,120.1,114.2,5.57,1.0145305667307154,1.0612465692716095,0.18803970708650386,-0.3902289530008501,0.29444063513663554,1.7749082658172155,1.860470388089056,-0.2072693021464415,0.9838763944157796
5115,Giannis Antetokounmpo,27.0,Milwaukee Bucks,PF,67.0,67.0,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,2022,595.0,1000.0,0.595,12.9,0.281,51,31,.622,—,115.5,112.1,3.22,1.3606538625773223,1.2444617788722743,0.15076782363475147,-0.5810423087768165,0.5216138050128065,1.421654875908706,1.434043817559511,0.6043147469119572,1.7522532187051971
5116,Giannis Antetokounmpo,28.0,Milwaukee Bucks,PF,63.0,63.0,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,2023,606.0,1000.0,0.606,8.6,0.204,58,24,.707,—,116.9,113.3,3.61,1.5914027264750614,1.3055335154058294,0.11349594018299944,-1.1534823761047166,-0.15990570461570633,1.421654875908706,1.1971401672653192,-0.6882079978847515,0.15319874653532883
5117,Giannis Antetokounmpo,29.0,Milwaukee Bucks,PF,73.0,73.0,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,2024,192.0,990.0,0.194,13.2,0.246,49,33,.598,—,119.0,116.4,2.44,1.4567992225347135,1.213925910605497,0.41167100779701676,-0.3902289530008501,0.1808540501985502,2.70219841432706,2.429039148795116,0.69449075236289,1.0254102768098021
5118,Giannis Antetokounmpo,30.0,Milwaukee Bucks,PF,67.0,67.0,34.2,11.8,19.7,0.601,0.2,0.9,0.222,11.6,18.7,0.62,0.607,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,2025,470.0,1000.0,0.47,11.5,0.241,48,34,.585,16.0,115.5,113.0,2.12,1.4567992225347135,1.3360693836726067,0.41167100779701676,-0.96266902032875,0.29444063513663554,2.4814150456342396,2.0263029432949904,0.18349338814093571,0.9215755708247457
5123,Gilbert Arenas,23.0,Washington Wizards,PG,80.0,80.0,40.9,8.2,19.0,0.431,2.6,7.0,0.365,5.6,12.0,0.469,0.498,6.5,8.0,0.814,1.0,3.7,4.7,5.1,1.7,0.3,3.0,3.1,25.5,2005,4.0,1270.0,0.003,11.5,0.169,45,37,.549,14.0,100.5,100.8,-0.71,0.5145746949522821,-0.8625131315353698,-0.1101353605275138,0.5638378258789832,-0.7278386293061337,-1.2719022221436975,-0.5559468449116964,0.18349338814093571,-0.573644195360065
5125,Gilbert Arenas,25.0,Washington Wizards,PG,74.0,73.0,39.8,8.7,20.9,0.418,2.8,7.9,0.351,6.0,13.0,0.459,0.484,8.2,9.7,0.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4,2007,31.0,1290.0,0.024,10.8,0.177,41,41,.500,3.0,104.3,104.9,-0.80,1.0722177827051496,-0.8930489998021474,0.2253115905382559,0.9454645374309165,-0.8414252142442193,-1.5589206014443635,-0.8876119553235648,-0.026917291244574756,-0.40750866578397527
5143,Glen Rice,29.0,Charlotte Hornets,SF,79.0,78.0,42.6,9.1,19.2,0.477,2.6,5.6,0.47,6.5,13.6,0.48,0.546,5.9,6.8,0.867,0.8,3.2,4.0,2.0,0.9,0.3,2.2,2.4,26.8,1997,134.0,1150.0,0.117,10.8,0.154,54,28,.659,15.0,98.9,97.0,2.13,0.7645526308414988,-1.0762642094028119,-1.265563747531831,-0.96266902032875,-0.7278386293061337,-0.25629872615672644,0.5811906765004236,-0.026917291244574756,-0.8851483133152342
5144,Glen Rice,30.0,Charlotte Hornets,SF,82.0,82.0,40.2,7.7,16.9,0.457,1.6,3.7,0.433,6.1,13.2,0.464,0.504,5.2,6.1,0.849,1.1,3.2,4.3,2.2,0.9,0.3,2.2,2.4,22.3,1998,7.0,1160.0,0.006,9.3,0.136,51,31,.622,11.0,96.6,94.6,2.45,-0.10075560877501998,-0.9846566046024796,-1.1910199806283266,-0.96266902032875,-0.7278386293061337,-0.6978654635423653,-0.41380465473518147,-0.4777973184992405,-1.2589532548614368
5157,Glenn Robinson,26.0,Milwaukee Bucks,SF,47.0,47.0,33.6,7.4,16.1,0.459,0.7,1.7,0.392,6.7,14.4,0.467,0.479,3.0,3.4,0.87,1.6,4.3,5.9,2.1,1.0,0.9,2.3,2.4,18.4,1999,1.0,1180.0,0.001,4.0,0.122,28,22,.560,5.0,91.7,90.0,1.66,-0.85068941644267,-0.4960827123340403,-1.2282918640800788,-0.7718556645527833,-0.046319119677620854,-0.6537087898038013,-1.0060637804706607,-2.0709067481323933,-1.5496904316195947
5179,Goran DragiÄ,27.0,Phoenix Suns,SG,76.0,75.0,35.1,7.3,14.4,0.505,1.6,3.9,0.408,5.7,10.4,0.542,0.561,4.2,5.5,0.76,0.9,2.3,3.2,5.9,1.4,0.3,2.8,2.7,20.3,2014,3.0,1250.0,0.002,10.3,0.186,48,34,.585,9.0,105.2,102.6,3.02,-0.4853370486045839,-1.3205511555370315,0.18803970708650386,-0.008602241448916846,-0.7278386293061337,0.36189470618316966,0.9365461519417111,-0.17721063366279668,-0.2206061950108737
5213,Grant Hill,23.0,Detroit Pistons,SF,80.0,80.0,40.8,7.1,15.3,0.462,0.1,0.3,0.192,7.0,14.9,0.468,0.464,6.1,8.1,0.751,1.6,8.2,9.8,6.9,1.3,0.6,3.3,3.0,20.2,1996,63.0,1130.0,0.056,11.7,0.172,46,36,.561,26.0,95.4,92.9,2.45,-0.5045661205960623,0.6948161500702804,0.5607585416040256,-0.19941559722488325,-0.3870788744918774,-0.5874737791959553,-1.361419255911947,0.24361072510822426,-0.5113433717690317
5214,Grant Hill,24.0,Detroit Pistons,SF,80.0,80.0,39.3,7.8,15.7,0.496,0.1,0.4,0.303,7.7,15.3,0.502,0.5,5.6,7.9,0.711,1.5,7.5,9.0,7.3,1.8,0.6,3.2,2.3,21.4,1997,376.0,1150.0,0.327,14.6,0.223,54,28,.659,15.0,94.2,88.9,5.45,-0.27381725669832413,0.45052920393606055,0.7098460754110341,0.75465118165495,-0.3870788744918774,0.16318967435963164,-0.5085661148528582,1.1153121111339115,0.5477706292785433
5215,Grant Hill,25.0,Detroit Pistons,SF,81.0,81.0,40.7,7.6,16.8,0.452,0.0,0.3,0.143,7.6,16.5,0.457,0.453,5.9,8.0,0.74,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1,1998,23.0,1160.0,0.02,10.2,0.149,37,45,.451,25.0,94.2,92.6,1.95,-0.3315044726727582,0.05356291646795377,0.5234866581522732,0.75465118165495,-0.2734922895537919,-0.8082571478887753,-1.6220132712355577,-0.2072693021464415,-0.9889830193002906
5216,Grant Hill,26.0,Detroit Pistons,SF,50.0,50.0,37.0,7.7,16.0,0.479,0.0,0.3,0.0,7.7,15.8,0.487,0.479,5.7,7.6,0.752,1.3,5.8,7.1,6.0,1.6,0.5,3.7,2.3,21.1,1999,39.0,1180.0,0.033,7.3,0.189,29,21,.580,4.0,90.4,86.9,3.97,-0.3315044726727582,-0.1296522931327111,0.2253115905382559,0.3730244701030168,-0.5006654594299629,-0.21214205241816245,-1.0060637804706607,-1.0789706881721284,-0.15830537141983986
5217,Grant Hill,27.0,Detroit Pistons,SF,74.0,74.0,37.5,9.4,19.2,0.489,0.5,1.3,0.347,8.9,17.9,0.5,0.501,6.5,8.2,0.795,1.3,5.3,6.6,5.2,1.4,0.6,3.2,2.6,25.8,2000,113.0,1210.0,0.093,10.7,0.185,42,40,.512,14.0,103.5,102.0,1.13,0.5722619109267169,-0.28233163446659837,-0.07286347707576142,-0.008602241448916846,-0.3870788744918774,0.008641316274657612,-0.48487574982343895,-0.05697595972821957,-0.24137313620788498
5369,Hakeem Olajuwon,28.0,Houston Rockets,C,56.0,50.0,36.8,8.7,17.1,0.508,0.0,0.1,0.0,8.7,17.1,0.51,0.508,3.8,4.9,0.769,3.9,9.8,13.8,2.3,2.2,3.9,3.1,3.9,21.2,1991,4.0,960.0,0.004,8.6,0.201,52,30,.634,3.0,106.7,103.2,3.27,-0.3122754006812804,1.9162508807413785,-1.1537480971765746,1.517904604758817,3.361278428464944,0.4281297167910157,-0.3190431946175048,-0.6882079978847515,0.09089792294429555
5371,Hakeem Olajuwon,30.0,Houston Rockets,C,82.0,82.0,39.5,10.3,19.5,0.529,0.0,0.1,0.0,10.3,19.5,0.532,0.529,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,1993,647.0,980.0,0.66,15.8,0.234,55,27,.671,—,104.0,99.8,3.57,0.6299491269011516,1.6719639346071586,-0.7064854957555484,0.75465118165495,3.7020381832792006,0.8917747910459378,0.17845447100029774,1.4760161329376444,0.7762069824456673
5372,Hakeem Olajuwon,31.0,Houston Rockets,C,80.0,80.0,41.0,11.2,21.2,0.528,0.1,0.2,0.421,11.1,20.9,0.529,0.53,4.9,6.8,0.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,1994,889.0,1010.0,0.88,14.3,0.21,58,24,.707,—,101.1,96.8,4.19,0.8606979907988898,1.3360693836726067,-0.6692136123037962,0.3730244701030168,3.134105258588773,0.8696964541766558,0.2021448360297169,1.0251361056829786,0.2778003937173965
5373,Hakeem Olajuwon,32.0,Houston Rockets,C,72.0,72.0,39.6,11.1,21.5,0.517,0.0,0.2,0.188,11.0,21.2,0.52,0.517,5.6,7.5,0.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,1995,147.0,1050.0,0.14,10.7,0.181,47,35,.573,15.0,103.5,101.4,2.32,0.9568433507562808,1.0001748327380549,-0.7064854957555484,0.75465118165495,2.7933455037745163,0.6268347486145537,-0.10582990935273229,-0.05697595972821957,-0.32444090099593015
