,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Pts Won,Pts Max,Share,WS,WS/48,W,L,W/L%,GB,PS/G,PA/G,SRS,PTS_Scaled,TRB_Scaled,AST_Scaled,STL_Scaled,BLK_Scaled,FG%_Scaled,eFG%_Scaled,WS_Scaled,WS/48_Scaled
8082,Kevin Durant,33.0,Brooklyn Nets,PF,55.0,55.0,37.2,10.5,20.3,0.518,2.1,5.5,0.383,8.4,14.8,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,2022,1.0,1000.0,0.001,8.4,0.198,44,38,.537,7.0,112.9,112.1,0.82,1.3606538625773223,-0.038044688332378535,0.37439912434526473,-0.96266902032875,-0.046319119677620854,0.6489130854838357,1.149759437206481,-0.7483253348520401,0.028597099353261705
8083,Kevin Durant,35.0,Phoenix Suns,PF,75.0,75.0,37.2,10.0,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,2024,1.0,990.0,0.001,8.3,0.142,49,33,.598,2.0,116.2,113.2,3.08,0.8222398468159335,-0.28233163446659837,-0.14740724397926583,-0.96266902032875,0.29444063513663554,0.7593047698302458,1.4103534525300918,-0.7783840033356844,-1.1343516076793696
8102,Kevin Garnett,22.0,Minnesota Timberwolves,PF,47.0,47.0,37.9,8.8,19.1,0.46,0.1,0.3,0.286,8.7,18.9,0.463,0.462,3.1,4.4,0.704,3.5,6.9,10.4,4.3,1.7,1.8,2.9,3.2,20.8,1999,9.0,1180.0,0.008,5.4,0.146,25,25,.500,12.0,92.9,92.6,-0.17,-0.3891916886471929,0.878031359670945,-0.4083104281415311,0.5638378258789832,0.9759601447651486,-0.6316304529345192,-1.4087999859707852,-1.6500853893613716,-1.0512838428913245
8103,Kevin Garnett,23.0,Minnesota Timberwolves,PF,81.0,81.0,40.0,9.4,18.8,0.497,0.4,1.0,0.37,9.0,17.8,0.504,0.507,3.8,5.0,0.765,2.8,9.0,11.8,5.0,1.5,1.6,3.3,2.5,22.9,2000,408.0,1210.0,0.337,11.6,0.172,50,32,.610,5.0,98.5,96.0,2.67,0.014618823173848786,1.3055335154058294,-0.14740724397926583,0.18221111432705,0.7487869748889777,0.18526801122891365,-0.342733559646924,0.21355205662458,-0.5113433717690317
8104,Kevin Garnett,24.0,Minnesota Timberwolves,PF,81.0,81.0,39.5,8.7,18.2,0.477,0.2,0.8,0.288,8.5,17.4,0.486,0.484,4.4,5.8,0.764,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0,2001,151.0,1240.0,0.122,11.8,0.176,47,35,.573,11.0,97.3,96.0,1.81,-0.1584428247494547,1.1833900423387196,-0.14740724397926583,-0.008602241448916846,0.9759601447651486,-0.25629872615672644,-0.8876119553235648,0.2736693935918691,-0.42827560698098655
8105,Kevin Garnett,25.0,Minnesota Timberwolves,PF,81.0,81.0,39.2,8.1,17.3,0.47,0.5,1.4,0.319,7.7,15.9,0.484,0.484,4.4,5.5,0.801,3.0,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,2002,17.0,1260.0,0.013,12.8,0.194,50,32,.610,8.0,99.3,96.0,3.58,-0.3122754006812804,1.3971411202061614,-0.07286347707576142,-0.3902289530008501,0.7487869748889777,-0.41084708424170047,-0.8876119553235648,0.5742560784283129,-0.05447066543478343
8106,Kevin Garnett,26.0,Minnesota Timberwolves,PF,82.0,82.0,40.5,9.1,18.1,0.502,0.2,0.9,0.282,8.8,17.2,0.513,0.508,4.6,6.1,0.751,3.0,10.5,13.4,6.0,1.4,1.6,2.8,2.4,23.0,2003,871.0,1190.0,0.732,15.6,0.225,51,31,.622,9.0,98.1,96.0,2.46,0.033847895165327255,1.7941074076742685,0.2253115905382559,-0.008602241448916846,0.7487869748889777,0.2956596955753237,-0.3190431946175048,1.4158987959703553,0.5893045116725658
8107,Kevin Garnett,27.0,Minnesota Timberwolves,PF,82.0,82.0,39.4,9.8,19.6,0.499,0.1,0.5,0.256,9.7,19.1,0.506,0.502,4.5,5.7,0.791,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,2004,1219.0,1230.0,0.991,18.3,0.272,58,24,.707,—,94.5,89.1,5.86,0.26459675906306546,1.9467867490081558,-0.14740724397926583,0.18221111432705,1.4303064845174907,0.22942468496747764,-0.4611853847940198,2.227482845028754,1.5653507479320956
8108,Kevin Garnett,28.0,Minnesota Timberwolves,PF,82.0,82.0,38.1,8.3,16.6,0.502,0.1,0.3,0.24,8.3,16.3,0.507,0.504,5.4,6.7,0.811,3.0,10.5,13.5,5.7,1.5,1.4,2.7,2.5,22.2,2005,15.0,1270.0,0.012,16.1,0.248,44,38,.537,8.0,96.8,95.3,1.73,-0.11998468076649844,1.8246432759410458,0.11349594018299944,0.18221111432705,0.5216138050128065,0.2956596955753237,-0.41380465473518147,1.5661921383885777,1.0669441592038247
8110,Kevin Garnett,30.0,Minnesota Timberwolves,PF,76.0,76.0,39.4,8.4,17.6,0.476,0.2,0.7,0.214,8.2,16.9,0.487,0.48,5.5,6.6,0.835,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4,22.4,2007,7.0,1290.0,0.005,10.7,0.171,32,50,.390,19.0,96.1,99.7,-3.16,-0.08152653678354219,1.610892198073604,-0.4828541950450355,-0.3902289530008501,0.862373559827063,-0.27837706302600845,-0.9823734154412415,-0.05697595972821957,-0.5321103129660424
